,question,counts
8724,how long does a covid outbreak last,6
8725,what is the probability of being infected,6
8726,what is the viral load of sputum,6
8727,what is transfer entropy,6
8728,how many patients have died from covid,6
8729,what is the abm approach,6
8730,what antibiotics are used for pneumonia,6
8731,why do nepalis eat with their hands,6
8732,how to calculate incubation period,6
8733,what is the lysis buffer used for,6
8734,why do canadians wear masks,6
8735,what is the difference between a surgical mask and a surgical mask,6
8736,cost of distancing,6
8737,what is the rv function,6
8738,what is the importance of big data,6
8739,when was the sars epidemic,6
8740,how does temperature affect covid,6
8741,when will covid-19 peak,6
8742,when should a tracheotomy be performed,6
8743,what is the ic of remdesivir,6
8744,what is the mechanism of bcg vaccination,6
8745,where is wuhan airport,6
8746,what is the activation function of a neural network,6
8747,when will covid-19 vaccine be available,6
8748,what is the genus and species of sars cov,6
8749,how many patients are on dialysis,6
8750,what is the molecular formula for nocardimicin,6
8751,what is the purpose of a systematic literature review,6
8752,what is the epidemiological significance of covid,6
8753,what is the normal range for blood glucose,6
8754,what is the purpose of dreams,6
8755,what is the benefit of lpvr,6
8756,what is the purpose of the icmje uniform disclosure form,6
8757,incubation period for a bacterial infection,6
8758,what is the peak of tcz,6
8759,what is the disadvantage of covid,6
8760,what is eppe,6
8761,what is the purpose of ds,6
8762,what is ensemble gene noise,6
8763,what is the weakness of ict,6
8764,what is the titer of igg,6
8765,what is nferx,6
8766,what is the current covid-19 pandemic,6
8767,weighted orthogonal matrix,6
8768,what is ecmo support,6
8769,what is the phq scale used for,6
8770,why are surgical masks used,6
8771,what is the ifn gene,6
8772,what is ssps,6
8773,what is ssris used for,6
8774,why is antibiotic stewardship important,6
8775,what is the genus of paramyxovirus,6
8776,what is the abo locus,6
8777,what is the evolution of the covid epidemic,6
8778,where is tmprss2 gene located,6
8779,when is remdesivir approved,6
8780,what is the primary care model,6
8781,what is the pdb code for sars-cov-2,6
8782,how many covid tests per day,6
8783,what is the difference between covid and mers,6
8784,what is prosocial behavior,6
8785,what is ece,6
8786,what is the role of ace receptors in sars-cov,6
8787,what is the purpose of pcr testing,6
8788,why is anxiety a problem in healthcare,6
8789,what is mavrilimumab,6
8790,what is the particle counter used for,6
8791,what is the role of ifns in sars-cov,6
8792,what is the impact of shelter in place,6
8793,how to calculate the number of deaths per day,6
8794,why is animal welfare important,6
8795,what is lamp-seq,6
8796,what is confinamiento,6
8797,what is twitter data used for,6
8798,what is the strongest predictor of in hospital mortality,6
8799,how did covid 19 spread,6
8800,how many patients are affected by covid,6
8801,what is the geographical location of covid,6
8802,what is the impact of the lockdown in italy,6
8803,what is translational research,6
8804,when will covid 19 be reported,6
8805,what is psi scheme,6
8806,why is it important to protect privacy,6
8807,who is len,6
8808,why is a surgical mask necessary,6
8809,what is the effect of d614g mutation,6
8810,what is the convalescent plasma used for,6
8811,what is the cc by nc,5
8812,what is the difference between diabetes and covid,5
8813,how effective are face masks,5
8814,what is the fractional order model for covid,5
8815,what sectors affected by covid,5
8816,what is apoe genotype,5
8817,what is the cutoff value for sars-cov-2,5
8818,what is deal making,5
8819,what is apl in lupus,5
8820,what is the relationship between covid and anxiety,5
8821,what is the etiological agent of covid,5
8822,what is qpcr test,5
8823,what is pyserini,5
8824,what is ade in sars,5
8825,what is the difference between dengue and covid,5
8826,what is the social distancing ratio,5
8827,where is furin cleaved,5
8828,what is the etiological agent for sars,5
8829,what is the role of palliative care in the pandemic,5
8830,what is the mechanism of covid19,5
8831,what is ent slt,5
8832,what temperature is sars cov-2 inactivated,5
8833,what is the impact of infectious diseases,5
8834,what is pm2 concentration,5
8835,why is healthcare important,5
8836,what is asd,5
8837,what is the cfr indicator,5
8838,what is the cfr in wuhan,5
8839,what is empower sustain,5
8840,what is the forecasting model,5
8841,what is the purpose of the data collection,5
8842,what is the poct test,5
8843,what is the cov protein,5
8844,what is the mechanism of action of tocilizumab,5
8845,what is asc,5
8846,what vitamin is associated with covid,5
8847,how to calculate sample size,5
8848,what is esi,5
8849,what is the fatality rate of sars-cov,5
8850,how does lockdown affect infection,5
8851,what is the sequence identity of sars-cov,5
8852,what is the social distancing rate,5
8853,what is the lab test for covid,5
8854,what is data science,5
8855,what is the pocus,5
8856,what is the fractional order derivative,5
8857,what is pyroptosis,5
8858,what is the crp level,5
8859,what vitamin deficiency is associated with covid,5
8860,what is the cxr,5
8861,what is the sentiment of tweets,5
8862,what is pm 2,5
8863,what is the titer of convalescent plasma,5
8864,what is the ethnicity of covid 19,5
8865,what is the purpose of a 3d scanner,5
8866,what is the aqi of wuhan,5
8867,when does flu season peak,5
8868,what is the eu crisis,5
8869,what is the cfs used for,5
8870,what is the target of 3clpro,5
8871,what is the augmented enkf,5
8872,what is the false positive rate for covid,5
8873,what is nad+,5
8874,what is the poc test for sars,5
8875,what temperature is sars cov-2 stable,5
8876,what is decision science,5
8877,what is fit factor,5
8878,what is apdt,5
8879,what is the difference between isolation and loneliness,5
8880,what is the purpose of a prediction model,5
8881,age differences in covid,5
8882,what is the receptorome of a virus,5
8883,what is the purpose of a smoke evacuator,5
8884,what is the purpose of a badger,5
8885,what is the difference between a hospital and a hospital,5
8886,what is the purpose of clinical guidelines,5
8887,what is plasmapheresis,5
8888,what is il-1 ⁇ ,5
8889,what is deeplift,5
8890,when does exponential growth occur,5
8891,what is the difference between depression and anxiety,5
8892,what is orcid,5
8893,what is the cross scale reproductive number,5
8894,what is dct,5
8895,why is patient safety important,5
8896,why is patient satisfaction important,5
8897,what is the peak of sars-cov-2,5
8898,what is the seroconversion rate for sars,5
8899,where is ace2 gene expressed,5
8900,what is the purpose of a statistical model,5
8901,what is the role of air pollution in sars,5
8902,what is the role of t cells in fibrosis,5
8903,what is the social force model,5
8904,what is the relationship between loneliness and physical performance,5
8905,what is ert,5
8906,what is the cfr of italy,5
8907,what is the role of ai in health care,5
8908,what is the purpose of 6g,5
8909,what is the difference between ebola and covid,5
8910,how long does it take for a stroke to occur,5
8911,what is the underlying liver disease,5
8912,what is the seroconversion rate,5
8913,what is the climate of mexico,5
8914,what is the purpose of a primer,5
8915,what is the cause of the sars outbreak,5
8916,what is the fatality rate of covid in china,5
8917,how does ncov spread,5
8918,what is the classification of sars,5
8919,what is prosocial,5
8920,what is the critical degree of a network,5
8921,what is the threshold for sars cov-2,5
8922,what is the ct test for covid,5
8923,why is ppe used in healthcare,5
8924,what is the mechanism of acute myocardial injury,5
8925,what is ari,5
8926,what is hyponatremia associated with,5
8927,what is the concept of covid,5
8928,what is the purpose of the data analysis,5
8929,what is the role of antibodies in sars,5
8930,what is the sero prevalence of covid,5
8931,what is the role of air pollution in the spread of covid,5
8932,acute pancreatitis symptoms,5
8933,why is lpv used,5
8934,what is qanon,5
8935,what is the threshold of an epidemic,5
8936,what is the sensitivity of ddpcr,5
8937,what is epidemic specific social capital,5
8938,what is the most common sars infection,5
8939,what is the health belief model,5
8940,which type of cell is ace2,5
8941,what is the cbc of covid,5
8942,what is hypofractionation,5
8943,what is the role of spike protein in sars-cov,5
8944,what is the mechanism of distress propagation,5
8945,what tests are done for covid,5
8946,what is the purpose of the pandemic,5
8947,what is the sequence of spike glycoprotein,5
8948,what is dhodh,5
8949,what is hypofractionated radiotherapy,5
8950,what is apoyo,5
8951,what is the cov of sars,5
8952,what is the role of parliament,5
8953,what is the outcome of sars cov,5
8954,when do npis start,5
8955,what is the sensitivity of ifa,5
8956,what is fis,5
8957,what is dg,5
8958,what is qclamp,5
8959,what is adam17,5
8960,what is the target gene for dyy,5
8961,what is the mechanism of covid pneumonia,5
8962,what is the purpose of a statistical analysis,5
8963,when did wuhan lock down,5
8964,what is the fatality rate of a disease,5
8965,what is the ct score for pulmonary involvement,5
8966,what is the percentage of deaths from covid,5
8967,what type of virus is sars,5
8968,what is dc sign,5
8969,why is sustainable tourism important,5
8970,why is systematic review important,5
8971,what is the role of spike proteins in sars,5
8972,what is the shortest path length,5
8973,what is prophet,5
8974,how long does it take for a swab to be positive,5
8975,what is ferritin used for,5
8976,what is the mathematical model for covid,5
8977,what is the outcome of tocilizumab,5
8978,what temperature is sars,5
8979,what is the titer of elisa,5
8980,what is the impact of sars cov-2,5
8981,what is the mechanism of hypertension,5
8982,what is the mechanism of action of coumarin,5
8983,what is the purpose of cess,5
8984,what is the mechanism of action of merscov,5
8985,what is the utp,5
8986,what is the iseir model,5
8987,what is the peptide that binds to hla,5
8988,what is albumin used for,5
8989,what is the pcr for sars-cov-2,5
8990,what is the difference between dka and hhs,5
8991,what is the role of etv7 in the ifn response,5
8992,what is the cleavage site of tmprss2,5
